Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Forms,100,737,713,772,11.90,0.000%,.16814,0.63,0.04,3843.0
Widget 1,100,298,282,594,30.18,0.000%,.16827,0.63,0.04,3828.0
Widget 2,100,294,283,315,5.13,0.000%,.16827,0.63,0.04,3830.0
Widget 3,100,295,284,311,5.22,0.000%,.16827,0.63,0.04,3831.0
Widget 4,100,297,283,514,22.36,0.000%,.16827,0.63,0.04,3823.0
Widget 5,100,295,283,321,5.73,0.000%,.16827,0.63,0.04,3823.0
Interaction 1,100,301,285,867,57.15,0.000%,.16827,0.63,0.04,3827.0
Interaction 2,100,294,284,320,5.65,0.000%,.16827,0.63,0.04,3828.0
Interaction 3,100,294,282,346,7.24,0.000%,.16828,0.63,0.04,3828.0
TOTAL,900,345,282,867,140.62,0.000%,1.48725,5.56,0.35,3829.0
